EDE	Lot_x_Time	Lot	Time	Vache	velage	DIM	semlact	Date	RACE	SEVRAGE	S3	SEXE VEAU	Acetate	propionate	iso_butyrate	butyrate	iso_valerate	Valerate	caproate	VFA_totaux	VFAt_Acetate	VFAt_propionate	VFAt_isobutyrate	VFAt_butyrate	VFAt_isovalerate	VFAt_valerate	VFAt_caproate	igG_Matin 	igG_soir	Lacto_Matin	Lacto_soir	id
9759	NA	M	9	3161	14/04/2019	60	8.571429	13/06/2019	Ho	25/06/2019	14/05/2019	F	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	365	194	274.000	36.000	
9764	NA	M	9	2604	18/04/2019	56	8.000000	13/06/2019	Mo	25/06/2019	14/05/2019	F	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	320	322	219.000	165.000	
9769	NA	M	9	5635	21/04/2019	67	9.571429	27/06/2019	Ho	09/07/2019	28/05/2019	MF	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	560	430	193.000	174.000	
9770	NA	M	9	2646	22/04/2019	66	9.428571	27/06/2019	Mo	09/07/2019	28/05/2019	F	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	380	194	329.000	251.000	
9725	NA	P	7	5690	22/02/2019	41	5.857143	04/04/2019	Ho	14/05/2019	19/03/2019	F	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	540	440	111.545	90.987	
9732	NA	P	7	6718	04/03/2019	45	6.428571	18/04/2019	Ho	11/06/2019	02/04/2019	F	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	350	405	167.407	113.009	
9740	NA	P	7	7639	14/03/2019	49	7.000000	02/05/2019	Mo	28/05/2019	16/04/2019	F	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	465	350	79.457	84.859	
9744	NA	P	7	5704	21/03/2019	42	6.000000	02/05/2019	Mo	28/05/2019	16/04/2019	MF	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	570	660	23.150	42.913	
9748	NA	P	7	7622	31/03/2019	46	6.571429	16/05/2019	Mo	09/07/2019	30/04/2019	F	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	200	300	82.706	48.689	
9750	NA	P	7	6640	03/04/2019	43	6.142857	16/05/2019	Ho	11/06/2019	30/04/2019	F	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	370	405	84.543	72.347	
9756	NA	P	7	4165	11/04/2019	49	7.000000	30/05/2019	Ho	25/06/2019	14/05/2019	F	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	570	520	114.197	128.124	
