id	Name	Animal	Lot	Time_cat	Time_num	Lot_x_Time	Localisation	MockAndDuplicates	"EDE
vache"	Race	Sexe	Date_naissance	Date_mini_passage_parc_mère	"Date réelle
passage parc mère"	"Date de séparation => ♂ 
S3 => ♀"	"Date de vente
possible"	"Date de vente
réelle"	Date sevrage prévue (♀)	Date sevrage réelle(♀)	Acetate	propionate	iso_butyrate	butyrate	iso_valerate	Valerate	caproate	Total_VFA	Acetate%	Propionate%	Isobutyrate%	Butyrate%	Isovalerate%	Valerate%	Caproate%
19LIB028-19MET497	9725P-13sem	9725	panache	13	13	panache_13	rumen	no	5690	Ho	F	22-févr-19	28-févr-19	01-mars-19	19-mars-19	-	-	30-avr-19	14-mai-19	36.3125	9.685	0.2735	3.792	0.251	0.247	0.007	50.568	0.718092469545958	0.191524284132258	0.00540855877234615	0.00540855877234615	0.00496361335231767	0.00488451194431261	0.000138427464008859
19LIB028-19MET498	9769M-10sem	9769	mere	10	10	mere_10	rumen	no	2604	Mo	F	19-avr-19	24-avr-19	24-avr-19	14-mai-19	-	-	25-juin-19	25-juin-19	73.5595	16.7015	0.4975	9.9255	0.582	0.5105	0.0975	101.874	0.722063529457958	0.163942713548108	0.00488348351885663	0.00488348351885663	0.0057129395135167	0.00501109213341972	0.000957064609223158
19LIB028-19MET499	9770M-10sem	9770	mere	10	10	mere_10	rumen	no	2646	Mo	F	22-avr-19	28-avr-19	28-avr-19	28-mai-19	-	-	09-juil-19	09-juil-19	23.732	8.0795	0.081	2.3675	0.0365	0.2425	0	34.539	0.687107327948117	0.233923970004922	0.00234517501954313	0.00234517501954313	0.00105677639769536	0.00702104866961985	0.0
19LIB028-19MET500	9774T-10sem	9774	temoin	10	10	temoin_10	rumen	no	5699	Ho	M-Fem	26-avr-19	03-mai-19	04-mai-19	28-mai-19	-	-	09-juil-19	09-juil-19	54.823	11.358	0.4505	10.364	0.8415	0.716	0.0475	78.6005	0.697489201722635	0.144502897564265	0.00573151570282632	0.00573151570282632	0.0107060387656567	0.00910935681070731	0.000604321855458935
19LIB028-19MET501	2342T-10sem	2342	temoin	10	10	temoin_10	rumen	no	5651	Ho	M-Fem	05-mai-19	11-mai-19	16-mai-19	28-mai-19	-	-	09-juil-19	09-juil-19	44.418	9.5135	0.477	6.6845	0.677	0.543	0.06	62.373	0.712135058438748	0.152525932695237	0.00764753980087538	0.00764753980087538	0.0108540554406554	0.00870568996200279	0.00096195469193401
19LIB028-19MET502	9721T-13sem	9721	temoin	13	13	temoin_13	rumen	no	5651	Ho	M-Fem	05-mai-19	11-mai-19	16-mai-19	28-mai-19	-	-	09-juil-19	09-juil-19	79.501	19.6475	0.5605	12.5	0.7445	0.8345	0.129	113.917	0.697885302457052	0.172472062993232	0.00492024895318521	0.00492024895318521	0.00653546002791506	0.00732550892316335	0.00113240341652256
19LIB028-19MET503	9722M-13sem	9722	mere	13	13	mere_13	rumen	no	6614	Ho	F	12-févr-19	18-févr-19	18-févr-19	19-mars-19	-	-	30-avr-19	30-avr-19	58.377	14.05	0.675	7.712	1.2225	1.0125	0.6775	83.7265	0.697234447874926	0.167808280532448	0.00806196365547348	0.00806196365547348	0.014601111953802	0.0120929454832102	0.00809182278012338
19LIB028-19MET504	9755M-13sem	9755	mere	13	13	mere_13	rumen	no	5611	Ho	F	09-avr-19	15-avr-19	15-avr-19	14-mai-19	-	-	25-juin-19	25-juin-19	52.486	17.112	0.416	4.862	0.534	0.5935	0.114	76.1175	0.689539199264295	0.224810326140506	0.00546523467008244	0.00546523467008244	0.00701546950438467	0.00779715571320655	0.00149768450093605
19LIB028-19MET505	9727M-13sem	9727	mere	13	13	mere_13	rumen	no	4168	Ho	F	27-févr-19	04-mars-19	04-mars-19	02-avr-19	-	-	14-mai-19	14-mai-19	63.077	16.077	0.4495	8.409	0.8155	0.8425	0.1275	89.798	0.702432125437092	0.17903516782111	0.00500567941379541	0.00500567941379541	0.00908149401991136	0.00938216886790352	0.00141985344885187
19LIB028-19MET506	9732P-13sem	1	9732	panache	13	13	panache_13	rumen																										
19LIB028-19MET507	9732P-13sem	2	9732	panache	13	13	panache_13	rumen																										
19LIB028-19MET508	9728M-13sem	9728	mere	13	13	mere_13	rumen	no	6742	Ho	F	27-févr-19	05-mars-19	05-mars-19	02-avr-19	-	-	14-mai-19	14-mai-19	73.4835	25.553	0.3935	10.995	1.0075	1.0625	0.266	112.761	0.651674781174342	0.226612037849966	0.0034896817161962	0.0034896817161962	0.00893482675747821	0.00942258404944972	0.00235897163026224
19LIB028-19MET509	9740P-13sem	9740	panache	13	13	panache_13	rumen	no	7639	Mo	F	15-mars-19	20-mars-19	20-mars-19	16-avr-19	-	-	28-mai-19	28-mai-19	50.9695	13.5875	0.402	5.5505	0.6055	0.4685	0.069	71.6525	0.711342939883465	0.189630508356303	0.00561041136038519	0.00561041136038519	0.00845050765849063	0.00653850179686682	0.000962981054394473
19LIB028-19MET510	9741T-13sem	9741	temoin	13	13	temoin_13	rumen	no	6728	Mo	M - Fem	18-mars-19	26-mars-19	27-mars-19	16-avr-19	-	-	28-mai-19	28-mai-19	67.7965	22.497	0.6785	6.7385	0.7245	0.833	0.017	99.285	0.682847358614091	0.226590119353377	0.00683386211411593	0.00683386211411593	0.0072971747998187	0.00838998841718286	0.000171224253411895
19LIB028-19MET511	9751T-13sem	9751	temoin	13	13	temoin_13	rumen	no	3154	Ho	M - Fem	06-avr-19	12-avr-19	12-avr-19	30-avr-19	-		11-juin-19	25-juin-19	24.6485	7.339	0.17	2.686	0.2465	0.2255	0.005	35.3205	0.697852521906542	0.207783015529225	0.00481306889766566	0.00481306889766566	0.00697894990161521	0.00638439433190357	0.000141560849931343
19LIB028-19MET512	9745T-13sem	9745	temoin	13	13	temoin_13	rumen	no	3647	Mo	M - Fem	24-mars-19	31-mars-19	02-avr-19	16-avr-19	-	-	28-mai-19	28-mai-19	45.812	10.6965	0.457	6.0185	0.4965	0.284	0.051	63.8155	0.717882019258644	0.167616018052041	0.00716126959751158	0.00716126959751158	0.00778024147738402	0.00445032946541201	0.000799178882873283
19LIB028-19MET513	9744P-13sem	9744	panache	13	13	panache_13	rumen	no	5704	Mo	M - Fem	21-mars-19	27-mars-19	28-mars-19	16-avr-19	-	-	28-mai-19	28-mai-19	51.469	10.1075	0.317	6.7305	0.536	0.4625	0.0625	69.685	0.738595106550908	0.145045562172634	0.00454904211810289	0.00454904211810289	0.0076917557580541	0.00663700939944034	0.000896893162086532
19LIB028-19MET514	9748P-13sem	1	9748	panache	13	13	panache_13	rumen																										
19LIB028-19MET515	9748P-13sem	2	9748	panache	13	13	panache_13	rumen																										
19LIB028-19MET516	9747M-13sem	9747	mere	13	13	mere_13	rumen	no	7628	Mo	F	31-mars-19	06-avr-19	06-avr-19	30-avr-19	-	-	11-juin-19	11-juin-19	55.8625	16.3685	0.723	4.519	1.2235	0.5125	0.0295	79.2385	0.704991891567862	0.206572562580059	0.00912435242969011	0.00912435242969011	0.0154407264145586	0.00646781551897121	0.000372293771335904
